Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s),ID
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","检查 电池 模式","0","0","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","检查 电池 功能","0","1","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","检查 电源 状态","0","2","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","检验 电池 模式","0","1","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","检验 电池 功能","0","2","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","检验 电源 状态","0","3","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 我 检查 电池 模式","0","1","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 我 检查 电池 功能","0","2","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 我 检查 电源 状态","0","3","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","电池 应用 多少","1","2","","6T6-H7J"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","电池 消耗 多少","1","2","","6T6-H7J"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","电源 使用 多少","1","2","","6T6-H7J"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","电源 应用 多少","1","3","","6T6-H7J"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","电源 消耗 多少","1","3","","6T6-H7J"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 我 检查 电源 功能","0","3","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 我 检验 电池 状态","0","3","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 我 检验 电源 模式","0","3","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 我 检验 电源 功能","0","4","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 本人 检查 电池 状态","0","1","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 本人 检查 电源 模式","0","1","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 本人 检查 电源 功能","0","2","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 本人 检验 电池 状态","0","2","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 本人 检验 电源 模式","0","2","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 本人 检验 电源 功能","0","3","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 俺 检查 电池 状态","0","2","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 俺 检查 电源 模式","0","2","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 俺 检查 电源 功能","0","3","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 俺 检验 电池 状态","0","3","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 俺 检验 电源 模式","0","3","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 俺 检验 电源 功能","0","4","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 咱 检查 电池 状态","0","2","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 咱 检查 电源 模式","0","2","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 咱 检查 电源 功能","0","3","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 咱 检验 电池 状态","0","3","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 咱 检验 电源 模式","0","3","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","给 咱 检验 电源 功能","0","4","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","帮 我 检查 电池 状态","0","3","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","帮 我 检查 电源 模式","0","3","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","帮 我 检查 电源 功能","0","4","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","帮 我 检验 电池 状态","0","4","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","帮 我 检验 电源 模式","0","4","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","帮 我 检验 电源 功能","0","5","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","帮 本人 检查 电池 状态","0","2","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","帮 本人 检查 电源 模式","0","2","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","帮 本人 检查 电源 功能","0","3","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","帮 本人 检验 电池 状态","0","3","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","帮 本人 检验 电源 模式","0","3","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","帮 本人 检验 电源 功能","0","4","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","帮 俺 检查 电池 状态","0","3","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","帮 俺 检查 电源 模式","0","3","","BZJ-CYL"
"Settings","1.0","Unknown","Unknown",True,"Settings","Battery Check","","帮 俺 检查 电源 功能","0","4","","BZJ-CYL"
