Agent,Version,Date Modified,Modified By,Explicitly Defined,Context,Command Name,Description,Command Variations,Priority,Priority for Variation,Tag(s),ID
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phone - By Contact and Type","","将 <common_names> <phonetypes> 电话 告诉 我","1","3","","YZ3-VMX"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phone - By Contact and Type","","找 <common_names> 的 <phonetypes> 电话","1","3","","J5J-3VT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phone - By Contact and Type","","提供 <common_names> 的 <phonetypes> 电话","1","3","","J5J-3VT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phone - By Contact and Type","","请 查看 <common_names> 的 <phonetypes> 电话","1","3","","J5J-3VT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phone - By Contact and Type","","请 显示 <common_names> 的 <phonetypes> 电话","1","3","","J5J-3VT"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phone - By Contact","","找 一下 <common_names> 的 电话","1","2","","MXM-QWM"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phone - By Contact","","查找 一下 <common_names> 的 电话","1","3","","MXM-QWM"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phone - By Contact","","搜索 <common_names> 的 电话","1","3","","MXM-QWM"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phone - By Contact","","搜 一下 <common_names> 的 电话","1","3","","MXM-QWM"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Phone - By Contact","","给 <common_names> 的 电话","1","3","","MXM-QWM"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","<contacts> 住址 在 哪","0","2","","V9D-RL3"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","<firstnames> 的 地点 在 啥","0","2","","V9D-RL3"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","<nicknames> 地点 是 哪儿","0","2","","V9D-RL3"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","<common_names> 的 地址 在 什么","0","0","","V9D-RL3"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","他 的 办公室 在 什么 地方","0","1","","V9D-RL3"
"Contacts","1.0","Unknown","Unknown",True,"Contacts","Address - By Contact","","找 一 找 <lastnames> 地点","1","3","","4R1-YTG"
